Date : 2020-03-15 22:42:52
Directory : /Users/cuijinyu/Documents/website-builder/website-builder-client
Total : 103 files,  18759 codes, 811 comments, 2645 blanks, all 22215 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| Log              |          1 |     11,355 |          0 |      1,692 |     13,047 |
| TypeScript React |         41 |      3,456 |          8 |        315 |      3,779 |
| TypeScript       |         21 |      1,581 |        295 |        306 |      2,182 |
| JavaScript       |         12 |      1,055 |        404 |        138 |      1,597 |
| SCSS             |         19 |        925 |        103 |        179 |      1,207 |
| JSON             |          4 |        330 |          0 |          4 |        334 |
| Nunjucks         |          1 |         38 |          0 |          4 |         42 |
| XML              |          1 |          7 |          0 |          1 |          8 |
| Properties       |          1 |          6 |          0 |          1 |          7 |
| Markdown         |          1 |          5 |          0 |          5 |         10 |
| Shell Script     |          1 |          1 |          1 |          0 |          2 |
+------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                  | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                     |        103 |     18,759 |        811 |      2,645 |     22,215 |
| config                                                                                                                                |          8 |        725 |        354 |         89 |      1,168 |
| config/jest                                                                                                                           |          2 |         40 |          7 |          9 |         56 |
| public                                                                                                                                |          2 |         63 |          0 |          5 |         68 |
| scripts                                                                                                                               |          3 |        318 |         49 |         47 |        414 |
| src                                                                                                                                   |         83 |      6,050 |        406 |        802 |      7,258 |
| src/common                                                                                                                            |          5 |        604 |        118 |        120 |        842 |
| src/common/style                                                                                                                      |          2 |        566 |        103 |        103 |        772 |
| src/common/utils                                                                                                                      |          3 |         38 |         15 |         17 |         70 |
| src/components                                                                                                                        |         18 |      2,091 |          1 |        162 |      2,254 |
| src/components/errorBoundary                                                                                                          |          1 |         24 |          0 |          7 |         31 |
| src/components/layoutComposer                                                                                                         |          2 |        221 |          0 |         20 |        241 |
| src/components/materialConfiger                                                                                                       |          8 |      1,284 |          0 |         73 |      1,357 |
| src/components/materialConfiger/components                                                                                            |          5 |      1,026 |          0 |         49 |      1,075 |
| src/components/materialConfiger/components/codeEditor                                                                                 |          1 |          0 |          0 |          1 |          1 |
| src/components/materialConfiger/components/propertyEditor                                                                             |          2 |        317 |          0 |         19 |        336 |
| src/components/materialConfiger/components/styleEditor                                                                                |          2 |        709 |          0 |         29 |        738 |
| src/components/materialTools                                                                                                          |          2 |        196 |          1 |         22 |        219 |
| src/components/pageView                                                                                                               |          2 |        176 |          0 |         20 |        196 |
| src/components/renderTree                                                                                                             |          2 |        189 |          0 |         20 |        209 |
| src/components/styleEditor                                                                                                            |          1 |          1 |          0 |          0 |          1 |
| src/constant                                                                                                                          |          3 |         87 |          0 |          3 |         90 |
| src/context                                                                                                                           |          1 |         31 |          0 |          6 |         37 |
| src/core                                                                                                                              |          6 |        944 |        240 |        208 |      1,392 |
| src/layout                                                                                                                            |         12 |        227 |          0 |         36 |        263 |
| src/layout/content                                                                                                                    |          2 |         26 |          0 |          5 |         31 |
| src/layout/footer                                                                                                                     |          2 |         64 |          0 |          7 |         71 |
| src/layout/header                                                                                                                     |          2 |         38 |          0 |          7 |         45 |
| src/layout/leftBar                                                                                                                    |          2 |         27 |          0 |          5 |         32 |
| src/layout/rightBar                                                                                                                   |          2 |         23 |          0 |          5 |         28 |
| src/materials                                                                                                                         |         16 |        753 |          3 |        106 |        862 |
| src/materials/components                                                                                                              |         14 |        641 |          2 |         95 |        738 |
| src/materials/components/button                                                                                                       |          1 |         24 |          0 |          6 |         30 |
| src/materials/components/calendar                                                                                                     |          1 |         22 |          0 |          5 |         27 |
| src/materials/components/card                                                                                                         |          1 |         20 |          0 |          4 |         24 |
| src/materials/components/chart                                                                                                        |          1 |         23 |          0 |          6 |         29 |
| src/materials/components/col                                                                                                          |          1 |         32 |          0 |          7 |         39 |
| src/materials/components/form                                                                                                         |          1 |        289 |          0 |         15 |        304 |
| src/materials/components/input                                                                                                        |          1 |         35 |          0 |          7 |         42 |
| src/materials/components/label                                                                                                        |          1 |         21 |          0 |          5 |         26 |
| src/materials/components/list                                                                                                         |          1 |          0 |          0 |          1 |          1 |
| src/materials/components/menu                                                                                                         |          1 |         42 |          0 |          7 |         49 |
| src/materials/components/row                                                                                                          |          1 |         23 |          0 |          6 |         29 |
| src/materials/components/switch                                                                                                       |          1 |         22 |          0 |          5 |         27 |
| src/materials/components/table                                                                                                        |          1 |         47 |          0 |          8 |         55 |
| src/pages                                                                                                                             |          4 |         88 |          1 |         18 |        107 |
| src/pages/home                                                                                                                        |          2 |         78 |          1 |         12 |         91 |
| src/pages/login                                                                                                                       |          1 |          5 |          0 |          3 |          8 |
| src/pages/project                                                                                                                     |          1 |          5 |          0 |          3 |          8 |
| src/render                                                                                                                            |          9 |        985 |          2 |         88 |      1,075 |
| src/render/hocs                                                                                                                       |          1 |         12 |          0 |          3 |         15 |
| src/render/store                                                                                                                      |          3 |        266 |          0 |         18 |        284 |
+---------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                                                              | language         | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| /Users/cuijinyu/Documents/website-builder/website-builder-client/.editorconfig                                                        | Properties       |          6 |          0 |          1 |          7 |
| /Users/cuijinyu/Documents/website-builder/website-builder-client/.prettierrc.js                                                       | JavaScript       |         12 |          1 |          2 |         15 |
| /Users/cuijinyu/Documents/website-builder/website-builder-client/README.md                                                            | Markdown         |          5 |          0 |          5 |         10 |
| /Users/cuijinyu/Documents/website-builder/website-builder-client/config/env.js                                                        | JavaScript       |         55 |         28 |         11 |         94 |
| /Users/cuijinyu/Documents/website-builder/website-builder-client/config/jest/cssTransform.js                                          | JavaScript       |          9 |          3 |          3 |         15 |
| /Users/cuijinyu/Documents/website-builder/website-builder-client/config/jest/fileTransform.js                                         | JavaScript       |         31 |          4 |          6 |         41 |
| /Users/cuijinyu/Documents/website-builder/website-builder-client/config/modules.js                                                    | JavaScript       |         81 |         35 |         26 |        142 |
| /Users/cuijinyu/Documents/website-builder/website-builder-client/config/paths.js                                                      | JavaScript       |         66 |         10 |         15 |         91 |
| /Users/cuijinyu/Documents/website-builder/website-builder-client/config/pnpTs.js                                                      | JavaScript       |         32 |          0 |          4 |         36 |
| /Users/cuijinyu/Documents/website-builder/website-builder-client/config/webpack.config.js                                             | JavaScript       |        408 |        212 |         18 |        638 |
| /Users/cuijinyu/Documents/website-builder/website-builder-client/config/webpackDevServer.config.js                                    | JavaScript       |         43 |         62 |          6 |        111 |
| /Users/cuijinyu/Documents/website-builder/website-builder-client/deploy.sh                                                            | Shell Script     |          1 |          1 |          0 |          2 |
| /Users/cuijinyu/Documents/website-builder/website-builder-client/package.json                                                         | JSON             |        197 |          0 |          1 |        198 |
| /Users/cuijinyu/Documents/website-builder/website-builder-client/public/index.html                                                    | Nunjucks         |         38 |          0 |          4 |         42 |
| /Users/cuijinyu/Documents/website-builder/website-builder-client/public/manifest.json                                                 | JSON             |         25 |          0 |          1 |         26 |
| /Users/cuijinyu/Documents/website-builder/website-builder-client/scripts/build.js                                                     | JavaScript       |        167 |         23 |         22 |        212 |
| /Users/cuijinyu/Documents/website-builder/website-builder-client/scripts/start.js                                                     | JavaScript       |        115 |         19 |         14 |        148 |
| /Users/cuijinyu/Documents/website-builder/website-builder-client/scripts/test.js                                                      | JavaScript       |         36 |          7 |         11 |         54 |
| /Users/cuijinyu/Documents/website-builder/website-builder-client/src/App.test.tsx                                                     | TypeScript React |          8 |          0 |          2 |         10 |
| /Users/cuijinyu/Documents/website-builder/website-builder-client/src/App.tsx                                                          | TypeScript React |         35 |          0 |          5 |         40 |
| /Users/cuijinyu/Documents/website-builder/website-builder-client/src/common/style/mixin.scss                                          | SCSS             |        282 |          3 |         40 |        325 |
| /Users/cuijinyu/Documents/website-builder/website-builder-client/src/common/style/reset.scss                                          | SCSS             |        284 |        100 |         63 |        447 |
| /Users/cuijinyu/Documents/website-builder/website-builder-client/src/common/utils/bem.ts                                              | TypeScript       |         12 |         12 |          7 |         31 |
| /Users/cuijinyu/Documents/website-builder/website-builder-client/src/common/utils/prod.ts                                             | TypeScript       |         11 |          3 |          5 |         19 |
| /Users/cuijinyu/Documents/website-builder/website-builder-client/src/common/utils/utils.ts                                            | TypeScript       |         15 |          0 |          5 |         20 |
| /Users/cuijinyu/Documents/website-builder/website-builder-client/src/components/errorBoundary/errorBoundary.tsx                       | TypeScript React |         24 |          0 |          7 |         31 |
| /Users/cuijinyu/Documents/website-builder/website-builder-client/src/components/layoutComposer/index.scss                             | SCSS             |         11 |          0 |          3 |         14 |
| /Users/cuijinyu/Documents/website-builder/website-builder-client/src/components/layoutComposer/index.tsx                              | TypeScript React |        210 |          0 |         17 |        227 |
| /Users/cuijinyu/Documents/website-builder/website-builder-client/src/components/materialConfiger/components/codeEditor/index.tsx      | TypeScript React |          0 |          0 |          1 |          1 |
| /Users/cuijinyu/Documents/website-builder/website-builder-client/src/components/materialConfiger/components/propertyEditor/index.scss | SCSS             |          1 |          0 |          1 |          2 |
| /Users/cuijinyu/Documents/website-builder/website-builder-client/src/components/materialConfiger/components/propertyEditor/index.tsx  | TypeScript React |        316 |          0 |         18 |        334 |
| /Users/cuijinyu/Documents/website-builder/website-builder-client/src/components/materialConfiger/components/styleEditor/index.scss    | SCSS             |          1 |          0 |          1 |          2 |
| /Users/cuijinyu/Documents/website-builder/website-builder-client/src/components/materialConfiger/components/styleEditor/index.tsx     | TypeScript React |        708 |          0 |         28 |        736 |
| /Users/cuijinyu/Documents/website-builder/website-builder-client/src/components/materialConfiger/context.tsx                          | TypeScript React |         18 |          0 |          5 |         23 |
| /Users/cuijinyu/Documents/website-builder/website-builder-client/src/components/materialConfiger/index.scss                           | SCSS             |         36 |          0 |          9 |         45 |
| /Users/cuijinyu/Documents/website-builder/website-builder-client/src/components/materialConfiger/index.tsx                            | TypeScript React |        204 |          0 |         10 |        214 |
| /Users/cuijinyu/Documents/website-builder/website-builder-client/src/components/materialTools/index.scss                              | SCSS             |         58 |          0 |         11 |         69 |
| /Users/cuijinyu/Documents/website-builder/website-builder-client/src/components/materialTools/index.tsx                               | TypeScript React |        138 |          1 |         11 |        150 |
| /Users/cuijinyu/Documents/website-builder/website-builder-client/src/components/pageView/index.scss                                   | SCSS             |         47 |          0 |          7 |         54 |
| /Users/cuijinyu/Documents/website-builder/website-builder-client/src/components/pageView/index.tsx                                    | TypeScript React |        129 |          0 |         13 |        142 |
| /Users/cuijinyu/Documents/website-builder/website-builder-client/src/components/renderTree/index.scss                                 | SCSS             |         50 |          0 |         10 |         60 |
| /Users/cuijinyu/Documents/website-builder/website-builder-client/src/components/renderTree/index.tsx                                  | TypeScript React |        139 |          0 |         10 |        149 |
| /Users/cuijinyu/Documents/website-builder/website-builder-client/src/components/styleEditor/index.tsx                                 | TypeScript React |          1 |          0 |          0 |          1 |
| /Users/cuijinyu/Documents/website-builder/website-builder-client/src/constant/animates.json                                           | JSON             |         81 |          0 |          1 |         82 |
| /Users/cuijinyu/Documents/website-builder/website-builder-client/src/constant/drag.ts                                                 | TypeScript       |          5 |          0 |          1 |          6 |
| /Users/cuijinyu/Documents/website-builder/website-builder-client/src/constant/errorCode.ts                                            | TypeScript       |          1 |          0 |          1 |          2 |
| /Users/cuijinyu/Documents/website-builder/website-builder-client/src/context/global.tsx                                               | TypeScript React |         31 |          0 |          6 |         37 |
| /Users/cuijinyu/Documents/website-builder/website-builder-client/src/core/ast.ts                                                      | TypeScript       |        886 |        240 |        190 |      1,316 |
| /Users/cuijinyu/Documents/website-builder/website-builder-client/src/core/error.ts                                                    | TypeScript       |          0 |          0 |          1 |          1 |
| /Users/cuijinyu/Documents/website-builder/website-builder-client/src/core/errorEngine.ts                                              | TypeScript       |          1 |          0 |          1 |          2 |
| /Users/cuijinyu/Documents/website-builder/website-builder-client/src/core/filterEngine.ts                                             | TypeScript       |          1 |          0 |          1 |          2 |
| /Users/cuijinyu/Documents/website-builder/website-builder-client/src/core/request.ts                                                  | TypeScript       |         54 |          0 |         13 |         67 |
| /Users/cuijinyu/Documents/website-builder/website-builder-client/src/core/transformer.ts                                              | TypeScript       |          2 |          0 |          2 |          4 |
| /Users/cuijinyu/Documents/website-builder/website-builder-client/src/eventManager.ts                                                  | TypeScript       |         42 |          0 |          9 |         51 |
| /Users/cuijinyu/Documents/website-builder/website-builder-client/src/index.scss                                                       | SCSS             |         14 |          0 |          5 |         19 |
| /Users/cuijinyu/Documents/website-builder/website-builder-client/src/index.tsx                                                        | TypeScript React |          6 |          3 |          3 |         12 |
| /Users/cuijinyu/Documents/website-builder/website-builder-client/src/layout/content/content.tsx                                       | TypeScript React |         17 |          0 |          3 |         20 |
| /Users/cuijinyu/Documents/website-builder/website-builder-client/src/layout/content/index.scss                                        | SCSS             |          9 |          0 |          2 |         11 |
| /Users/cuijinyu/Documents/website-builder/website-builder-client/src/layout/footer/index.scss                                         | SCSS             |         11 |          0 |          1 |         12 |
| /Users/cuijinyu/Documents/website-builder/website-builder-client/src/layout/footer/index.tsx                                          | TypeScript React |         53 |          0 |          6 |         59 |
| /Users/cuijinyu/Documents/website-builder/website-builder-client/src/layout/header/index.scss                                         | SCSS             |         22 |          0 |          4 |         26 |
| /Users/cuijinyu/Documents/website-builder/website-builder-client/src/layout/header/index.tsx                                          | TypeScript React |         16 |          0 |          3 |         19 |
| /Users/cuijinyu/Documents/website-builder/website-builder-client/src/layout/index.scss                                                | SCSS             |         22 |          0 |          4 |         26 |
| /Users/cuijinyu/Documents/website-builder/website-builder-client/src/layout/index.tsx                                                 | TypeScript React |         27 |          0 |          3 |         30 |
| /Users/cuijinyu/Documents/website-builder/website-builder-client/src/layout/leftBar/index.scss                                        | SCSS             |         12 |          0 |          2 |         14 |
| /Users/cuijinyu/Documents/website-builder/website-builder-client/src/layout/leftBar/index.tsx                                         | TypeScript React |         15 |          0 |          3 |         18 |
| /Users/cuijinyu/Documents/website-builder/website-builder-client/src/layout/rightBar/index.scss                                       | SCSS             |          9 |          0 |          2 |         11 |
| /Users/cuijinyu/Documents/website-builder/website-builder-client/src/layout/rightBar/index.tsx                                        | TypeScript React |         14 |          0 |          3 |         17 |
| /Users/cuijinyu/Documents/website-builder/website-builder-client/src/logo.svg                                                         | XML              |          7 |          0 |          1 |          8 |
| /Users/cuijinyu/Documents/website-builder/website-builder-client/src/materials/components/base.tsx                                    | TypeScript React |         41 |          2 |         13 |         56 |
| /Users/cuijinyu/Documents/website-builder/website-builder-client/src/materials/components/button/index.tsx                            | TypeScript React |         24 |          0 |          6 |         30 |
| /Users/cuijinyu/Documents/website-builder/website-builder-client/src/materials/components/calendar/index.tsx                          | TypeScript React |         22 |          0 |          5 |         27 |
| /Users/cuijinyu/Documents/website-builder/website-builder-client/src/materials/components/card/index.tsx                              | TypeScript React |         20 |          0 |          4 |         24 |
| /Users/cuijinyu/Documents/website-builder/website-builder-client/src/materials/components/chart/index.tsx                             | TypeScript React |         23 |          0 |          6 |         29 |
| /Users/cuijinyu/Documents/website-builder/website-builder-client/src/materials/components/col/index.tsx                               | TypeScript React |         32 |          0 |          7 |         39 |
| /Users/cuijinyu/Documents/website-builder/website-builder-client/src/materials/components/form/index.tsx                              | TypeScript React |        289 |          0 |         15 |        304 |
| /Users/cuijinyu/Documents/website-builder/website-builder-client/src/materials/components/input/index.tsx                             | TypeScript React |         35 |          0 |          7 |         42 |
| /Users/cuijinyu/Documents/website-builder/website-builder-client/src/materials/components/label/index.tsx                             | TypeScript React |         21 |          0 |          5 |         26 |
| /Users/cuijinyu/Documents/website-builder/website-builder-client/src/materials/components/list/index.tsx                              | TypeScript React |          0 |          0 |          1 |          1 |
| /Users/cuijinyu/Documents/website-builder/website-builder-client/src/materials/components/menu/index.tsx                              | TypeScript React |         42 |          0 |          7 |         49 |
| /Users/cuijinyu/Documents/website-builder/website-builder-client/src/materials/components/row/index.tsx                               | TypeScript React |         23 |          0 |          6 |         29 |
| /Users/cuijinyu/Documents/website-builder/website-builder-client/src/materials/components/switch/index.tsx                            | TypeScript React |         22 |          0 |          5 |         27 |
| /Users/cuijinyu/Documents/website-builder/website-builder-client/src/materials/components/table/index.tsx                             | TypeScript React |         47 |          0 |          8 |         55 |
| /Users/cuijinyu/Documents/website-builder/website-builder-client/src/materials/decorators.ts                                          | TypeScript       |         64 |          1 |          8 |         73 |
| /Users/cuijinyu/Documents/website-builder/website-builder-client/src/materials/index.ts                                               | TypeScript       |         48 |          0 |          3 |         51 |
| /Users/cuijinyu/Documents/website-builder/website-builder-client/src/pages/home/index.scss                                            | SCSS             |         27 |          0 |          8 |         35 |
| /Users/cuijinyu/Documents/website-builder/website-builder-client/src/pages/home/index.tsx                                             | TypeScript React |         51 |          1 |          4 |         56 |
| /Users/cuijinyu/Documents/website-builder/website-builder-client/src/pages/login/index.tsx                                            | TypeScript React |          5 |          0 |          3 |          8 |
| /Users/cuijinyu/Documents/website-builder/website-builder-client/src/pages/project/index.tsx                                          | TypeScript React |          5 |          0 |          3 |          8 |
| /Users/cuijinyu/Documents/website-builder/website-builder-client/src/react-app-env.d.ts                                               | TypeScript       |         48 |          3 |         14 |         65 |
| /Users/cuijinyu/Documents/website-builder/website-builder-client/src/render/helper.ts                                                 | TypeScript       |         45 |          1 |         11 |         57 |
| /Users/cuijinyu/Documents/website-builder/website-builder-client/src/render/hocs/styleHOC.tsx                                         | TypeScript React |         12 |          0 |          3 |         15 |
| /Users/cuijinyu/Documents/website-builder/website-builder-client/src/render/index.scss                                                | SCSS             |         16 |          0 |          3 |         19 |
| /Users/cuijinyu/Documents/website-builder/website-builder-client/src/render/index.tsx                                                 | TypeScript React |        228 |          1 |         19 |        248 |
| /Users/cuijinyu/Documents/website-builder/website-builder-client/src/render/material.tsx                                              | TypeScript React |        405 |          0 |         31 |        436 |
| /Users/cuijinyu/Documents/website-builder/website-builder-client/src/render/mhoc.scss                                                 | SCSS             |         13 |          0 |          3 |         16 |
| /Users/cuijinyu/Documents/website-builder/website-builder-client/src/render/store/renderAction.ts                                     | TypeScript       |        114 |          0 |          7 |        121 |
| /Users/cuijinyu/Documents/website-builder/website-builder-client/src/render/store/renderReducer.ts                                    | TypeScript       |        145 |          0 |          8 |        153 |
| /Users/cuijinyu/Documents/website-builder/website-builder-client/src/render/store/renderStore.ts                                      | TypeScript       |          7 |          0 |          3 |         10 |
| /Users/cuijinyu/Documents/website-builder/website-builder-client/src/serviceWorker.ts                                                 | TypeScript       |         79 |         31 |         15 |        125 |
| /Users/cuijinyu/Documents/website-builder/website-builder-client/src/setupTests.ts                                                    | TypeScript       |          1 |          4 |          1 |          6 |
| /Users/cuijinyu/Documents/website-builder/website-builder-client/tsconfig.json                                                        | JSON             |         27 |          0 |          1 |         28 |
| /Users/cuijinyu/Documents/website-builder/website-builder-client/yarn-error.log                                                       | Log              |     11,355 |          0 |      1,692 |     13,047 |
| Total                                                                                                                                 |                  |     18,759 |        811 |      2,645 |     22,215 |
+---------------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
